,p_sgEGR1_3,p_sgEGR1_2,p_sgEGR1_4,p_sgCREB1_2,p_sgNR2C2_2,p_sgNR2C2_3,p_sgNR2C2_5,p_sgCREB1_4,p_sgCREB1_5,p_sgYY1_3,p_sgGABPA_1,p_sgIRF1_2,p_sgIRF1_3,p_sgELK1_7,p_sgELK1_6,p_sgELF1_2,p_sgYY1_10,p_sgELF1_1,p_sgETS1_5,p_sgETS1_3,p_sgGABPA_9,p_sgELF1_4,p_sgELF1_5,p_sgELK1_1,p_sgE2F4_6,p_sgE2F4_7
B3GALT6,-0.0118611,0,0.022801163,-0.000995271,0,0,0.010553716,0,0.010175933,0,0,0,0.011909734,0,0,0.002668904,0,-0.018213817,-0.006236243,0,-0.000188027,0.007231878,-0.005970657,0,-0.00059851,0.008980824
FAM132A,0,0,0,0,0,0,0,0,0.000502051,0,0,0,0,0,0,0,0,0,0,-0.001910606,0,0,0.011070275,0,0.002656125,0
RP5-902P8.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBE2J2,0.011713892,0,-0.015689059,-0.036938712,0.041822226,0,0.006484065,0.007488052,-0.008850555,-0.031529127,0.000368119,-0.047312501,0,-0.059362263,0.018082026,-0.014122796,-0.018742526,0,0,0.002341455,0.003294709,-0.024660274,0.016996801,0,-0.008141522,0.015629538
RP5-902P8.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCNN1D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAP3,0,-0.003787259,0,-0.016219708,0.009317466,0.000543297,0.014931144,-0.003069775,0.014448076,0.020754633,-0.007655114,-0.007096212,0.016464917,0.002191956,0.008476389,-0.000579239,0,0,-0.000466752,-0.00233566,0.014232574,0,0,0,0,0
PUSL1,-0.029954139,0.00470157,-0.031553423,0,0,-0.013415755,0,0,-0.021948666,-0.033315956,0.018593365,0.009514634,0,0.057493489,0.024799519,0.000657627,-0.04009632,-0.024567345,-0.025996229,0,0.00717396,0,0.003484005,0,0.011435906,0
CPSF3L,-0.00575522,0.033131713,0,-0.029606302,0.058516582,-0.002460898,-0.014927604,0,-0.005944553,0.010490948,-0.018864294,-0.009140317,0.007896022,0.016217701,0,-0.034026368,6.42E-06,0.061074801,-0.012186308,-0.030541459,0,0.000133014,0,0.015199705,-0.054003813,0.010635925
CPTP,0,0,0.0077346,-0.007205826,0.026647176,0,0.007737956,0,0.01273498,0,0,-0.011348757,0,0,0,-0.013715183,-0.016182222,-0.018852729,0,-0.002593728,0.018007084,-0.005916954,-0.006889716,0,0.028062807,0
TAS1R3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVL1,0.015952545,0.005570864,0.001537254,-0.013402429,0,0,0,-0.000478995,0.004689427,0,-0.007269073,-0.001534081,-0.023056139,-0.016980876,0,0.007592293,-0.014030024,0,0.016157652,-0.009312111,0.010732233,-0.001490536,-0.016073153,0,0.005367401,0.016786637
