,p_sgEGR1_3,p_sgEGR1_2,p_sgEGR1_4,p_sgCREB1_2,p_sgNR2C2_2,p_sgNR2C2_3,p_sgNR2C2_5,p_sgCREB1_4,p_sgCREB1_5,p_sgYY1_3,p_sgGABPA_1,p_sgIRF1_2,p_sgIRF1_3,p_sgELK1_7,p_sgELK1_6,p_sgELF1_2,p_sgYY1_10,p_sgELF1_1,p_sgETS1_5,p_sgETS1_3,p_sgGABPA_9,p_sgELF1_4,p_sgELF1_5,p_sgELK1_1,p_sgE2F4_6,p_sgE2F4_7
RP11-111J6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDH14,-0.002370344,-0.021812402,-0.001899061,-0.024734347,0,0,0.001732557,0.009061935,0,0,0.002642969,0.025230468,-0.011762285,-0.007867009,0,-0.003425028,0.021832474,-0.009514058,0,0,0.012384597,0,-0.004662032,0,0.002344666,0
AC106053.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC092594.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC010096.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTC32,-0.028741064,0.029118332,0,0.011536916,0.012103678,0.00430973,-0.024116567,-0.000808848,0,-0.024784733,0.039045569,-0.006344072,0.002167142,0.011393129,0.015742587,0,-0.06074099,0,-0.005208893,0.008284141,-0.020127229,0.002587576,0.009173147,0,0,-0.021835643
RP11-79O8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003682092,0,0,0,0,0,0,0,0,0,0,0,0.000152877
WDR35,-0.001788597,-0.000393746,0,0,0,0,0.008685878,0,0,0.002234439,0,0,0.000987737,0,-0.000481995,0,0,0,0,0,0,0,0,0.004324417,0,0
AC079145.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAPTM4A,0,0.025385767,-0.034164703,-0.028891873,-0.088911112,0,-0.014848427,-0.001300796,-0.010675848,0.024528333,0.002248422,0,0.022998799,-0.011695436,0.007386266,0.015192035,0.043546621,-0.007596841,-0.016671812,0,0.006768151,0,0.00296457,0.04360767,0.009565852,0
RP11-644K8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUM2,0,0.017165863,0,-0.005427499,0.026306437,0,0.009784057,-0.004238367,0.031867526,0,0,-0.015202994,0,-0.000869794,0,0.005603765,0.021590884,0,0,0.01058086,0.012898081,0,0,0,0,-0.016874568
RHOB,0,0,0,0.001898031,0,0,0,0,0,0,0,0,0,0.01024614,0,0,0,0,0,0,0,0,0,0,0,0
HS1BP3,0.018913175,0,0,0,0,0,0.005873678,0,0.010001372,0.011843598,0.001276217,3.99E-05,-0.001646114,-0.000792194,-0.007123076,0,0,-0.00391082,0.010346294,0,0,0,0,0.011458137,-0.009302733,-0.002210265
RP11-130L8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDF7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC012065.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-130L8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LDAH,0,0.021877109,0.031419839,0.008258856,0.008741105,-0.022306614,0,-0.00637045,0,-0.008353195,0,0,0.002593849,0,0.001865067,0.006053833,-0.015142597,0,0.000810821,-0.010119206,-0.014119379,-0.027438957,0,0,0.006375732,-0.002428755
TDRD15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC067959.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KLHL29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATAD2B,0,-0.019737172,0.001516433,-0.001396364,-0.038750745,0,-0.005464186,0,-0.001254575,-0.025162495,0.016108703,0,0.006164307,-0.012337809,0.007786678,-0.005649627,-0.022896735,0.002806257,0,0.031065264,0,0.004002998,0,-0.003801164,0.006244243,0
UBXN2A,0,0,0.03663724,0.023317083,0,0,0.017609577,0.01454576,-0.012832022,-0.000451896,0,0.045957945,0.011144788,-0.026470362,-0.018360113,0.01056781,-0.029267254,-0.022803318,-0.029503007,0,0.024233392,0,-0.033136228,0,-0.046266327,-0.010521848
MFSD2B,0.001851407,0.022620049,0.019746717,-0.011157499,0,0.007021651,-0.000765862,-0.029365014,0.004645463,-0.050554181,0.008349337,0,-0.004950629,0,-0.009713097,-0.000902885,-0.038091031,-0.012246004,0.011483386,0,0.0095805,0.024686141,0,0.021332911,-0.012098158,0
C2orf44,0.002158815,0.006109162,-0.004458451,0,0,0.006063789,0,0,-0.012685934,0,0.001253479,0.012118042,0,-0.003668961,-0.002556395,0,0.015130853,-0.000421072,0,0,0,0.002870452,0,0,0,-3.18E-06
FKBP1B,0,0,0,0,0,0,-0.000521797,0.002346912,0,0.004424209,0.002692817,0,0,0,0.007761605,0,-0.000416743,0,0,0.000423049,0,0,0,0,0,0
SF3B6,-0.031531255,-0.009520799,-0.002968992,0.026452359,0,-0.008533878,0.044000085,-0.009564297,0,0.139818805,0,-0.016562035,0,0,0.009065429,0,0.07127523,0.006190268,0.009397538,0.014381576,-0.037195523,0.009610948,0,0.010685169,-0.01043029,0.021455553
FAM228B,0,0,-0.001649103,0,0,0,-0.004231555,0,-1.66E-05,0,0.000635392,0,0,0,0.003055344,0,0,0,0,0,0,0,0,0,0,0
TP53I3,0.002863255,0,0,0,0,0,0.013407279,-0.012723405,-0.01640976,0,-0.00230581,0,0,0.009033008,0.007887225,0,0,0.010275768,0.006674491,0,-0.009783415,0,0.000781431,-0.006739151,-0.011913235,0
PFN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM228A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITSN2,0.033340165,0,0,0,0,-0.018755336,0,0.003117825,-0.001444239,-0.027153539,-0.011559189,-0.004979389,0.013654466,0,-0.013175749,0.008043195,-0.026687407,0,0.025095378,0,-0.007996625,0.003689848,0.009377983,0.009585294,0.005517341,0.013411268
AC009228.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCOA1,0,0,0.00135779,0,0,0,0.002800802,0,0.010777257,-0.015495532,-0.00452909,0,0,-0.008071549,-0.000908859,-0.002778823,-0.004791317,-0.018732241,0,0.006190516,0,0,0,-0.008908326,-0.002832421,0.016083285
PTRHD1,-0.009859717,0,0.018497018,0,0,0.01240695,0.034869501,-0.010915937,0.044738187,0.00217824,0.009947074,0,-0.020321215,-0.006781003,0.001080586,-0.036444425,0.046655494,-0.017853664,-0.019522765,-0.000106607,0,0.033125447,-0.028562719,0.00820677,-0.002314478,0.030402147
CENPO,0,0.011404123,0.011719006,2.60E-05,0,-0.002368464,0,-0.008893163,0,0.002264309,0.008756943,-0.009304608,-0.001665643,0.011305037,0,-0.004257964,0.026253163,-0.011580054,0,-0.003762815,-0.01153957,0,0,0,-0.012815366,0.024431208
ADCY3,0,-0.000763981,0,-0.004798926,0,0.003362469,0,-0.010364229,0,0,0,-0.010643674,0,0,0,0,0.003375647,0,0.00590708,0.005526805,0.000652157,-0.009777292,0,-0.001871376,0,-0.004524807
RP11-443B20.1,0,0,0,0,0,0,0,-0.00220171,0,0,0,-0.004701951,0,0,0,0,0,0,0,0,0,0,0,-0.002293466,0,0
DNAJC27,-0.002276335,0.007477983,0,0,0,0,-0.003295629,0,0,0,0,0,0,-0.004349229,0,0,0,0.009114524,0,0,0,0,0.000752105,0,0,0
DNAJC27-AS1,0,0,0,0,0,0,0,0,0.005806593,0.005121045,0,0,0,0,0,0,0,0,0.000835465,0,0,0,0,0,0,0
EFR3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC012457.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-458N5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNMT3A,0,-0.001523409,0.006093212,0,0,0.001993819,0,0,0,0,0,0,0.008547717,0,0,0,-0.000930029,0,0,0,0.001867815,0,-0.001894001,0,-0.004819321,0
DTNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASXL2,0,0.011663722,0,0,0,-0.005541983,-0.002096128,0,-0.00160351,0.003607866,0.033132529,0,0,-0.004098301,0,0.000353012,0.026567032,0,0,0,0.005152913,0,0,0,0.010925612,-0.009266773
KIF3C,0,0,-8.40E-05,0,0,0,0,0,0,0,0,0,-0.004737199,0,0.002227229,-0.002310454,0,0,0,0.00027112,0.004622672,0,0,-0.005610258,0,0
AC013449.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB10,-0.076055987,0,0,0.052535284,0,0,-0.005861876,-0.007138523,-0.00463693,0.028722904,0,0,0.059123216,0,-0.039418864,-0.030715921,0,-0.085021686,-0.012931262,-0.035057147,0.031682442,0.035237443,5.89E-05,0.003976837,0.020040293,0.042128715
GAREML,0,0,0.004705237,0,0,-0.000246464,0,0,0.006286457,0,0,0,0,0,0.009241285,-0.006019563,0,0,-0.00978122,0,0,0,0,0.002641123,0,0
HADHA,-0.025952605,0.002887218,-0.004667858,0.000759873,0.030051822,0.002223372,0.01435947,0,0.002627176,-0.038660272,0.007722866,-0.005134726,-0.00776331,0.023294297,-0.005557132,0,0.014271475,-0.023137337,0.014697726,0,-0.044323778,-0.009437417,-0.002742881,0,-0.028755126,0.022336456
HADHB,-0.002631487,-0.011295295,-0.045918108,0.021366938,0,0.037805194,-0.013294132,0,0.02336028,0,-0.001688204,-0.020946614,-0.024149645,-0.011111903,0,0,0.038267845,0.011492035,0.034663546,0.007519204,0,-0.008599435,0,0.027149414,-0.020982995,0
GPR113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPT1,0.005961901,0,0.006383139,0,0,0,0,0.005365944,-0.00364405,0,-0.017426085,-0.002109543,0.002139668,0,-0.002660511,0.029658985,0.004955982,0.020276691,0,0,0,0,-0.009187995,-9.89E-05,-0.004239779,-0.010406195
DRC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTOF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2orf70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNK3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC35F6,0.00949862,0.029831174,0.025730644,0,0.041376351,-0.001996469,-0.017322831,0,0,0.032470256,0,0,0.047507226,-0.006120687,-0.000817259,-0.001690099,0,0,0,0.015031422,-0.01315446,-0.013076469,0,0,0.001591319,-0.012409233
CENPA,0.042922853,0.001045075,0,-0.002193141,0.010979405,0,0.006149404,-0.033633408,-0.035244599,0,0,0,0.038823762,0.016999443,-0.010309853,-0.012438627,0.035385057,-0.006430806,0.010431713,-0.016198791,0.021712372,0.013572349,-0.003165226,-0.013459594,0.013146582,0
DPYSL5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPRE3,0,-0.014232034,0,0.007123083,0,0,0.01301163,-0.00476136,0,0.014380093,-0.004060254,0,-0.011862908,-0.027111059,-0.007001635,0,0.004605514,-0.001340115,0,0,0,0.010696762,0,0,0,0
TMEM214,0,-0.015904327,0.016600441,-0.022159642,-0.004904215,0,-0.013430958,0,0,0,-0.004324956,-0.000913808,0.004798347,0.004752573,-0.008645993,0.027009537,0.015107577,0,-0.009247668,0.026916394,0,0,0.029245335,0.006973886,-0.001361499,-0.007159673
AGBL5,0.011884877,-5.43E-05,-0.005079883,0.001837572,0,0,0.016694753,0.010817569,0.032356127,0.005799869,0,0.002597798,-0.012091646,0,0.019497342,0,-0.000672224,0,-0.023421443,0.0076251,-0.012708017,-0.012759909,0,0,0.00660602,-0.003460085
AGBL5-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-503P10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-195B17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OST4,-0.005731036,0.002737998,0.01107255,0,0,-0.034528557,-0.022790127,-0.032782111,0.028819301,-0.003134103,0,-0.047834847,-0.013311396,0.001743685,0,0,-0.06468247,0.006788752,-0.002928689,0.01652316,-0.037425858,-0.019060421,0,0.012392287,0.00966901,0.008667997
EMILIN1,0,0,0,-0.005866165,0,0,0,-0.01165268,0,0,0.006784407,-0.004134075,0,0.003886056,2.54E-06,0,0,0,0,-7.55E-05,-0.000865373,0.001776334,0,0,0,0
KHK,0.013255552,0.015762049,0,0,0,-0.006077272,0.005681693,0,0,0.008815955,0,0,-0.007665289,0,0.006219973,0.013806935,0,0.003527967,0.014534743,-0.002955756,0,0,-0.002864568,0,-0.011728074,-0.017437073
CGREF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PREB,-0.014713072,0,0.002232815,0.004073619,0,0,-0.013204401,-0.006615787,0.017787636,-0.005667633,0,-0.022218368,0.009075443,0.018909918,-0.006145007,0.012255466,0,0,0.003483693,0,0.000525274,0,-0.015369984,0,0,0
TCF23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC5A6,0,-0.001818717,0.001464265,0,0,0,0.009752679,-0.008601248,0.01077076,0,-0.018687552,0,0,0,0.039786074,0,0.033366391,0,0.017773887,0,0.047930601,0,-0.033187464,0.011219111,-0.015871091,0
ATRAID,0.019163977,0,0,0.037797567,0.003201234,0.029235827,0.001789686,-0.011691457,-0.011211761,-0.042532566,-0.000125585,0,-0.023585953,-0.029877283,-0.000406565,-0.017466761,-0.124784498,-0.006288237,0,0.027831092,0.002290365,-0.009255192,-0.001941895,0.003817008,0.002937025,0.04001611
CAD,0,0.00672732,0.004347273,0,0,0,0,-0.017927844,0.024243826,-0.001935039,0.019398319,-0.01671605,-0.003412271,0,0.003953073,-0.010279909,0,0,0,0,-0.008655157,0,0,0,-0.001880214,0
SLC30A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAJC5G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIM54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCN,0,0,-0.002252468,-0.001976631,0,0,0,0,0,0.008596685,0,0,0,0,0,0,0,-0.002937931,0.00526824,0.006373611,0,0,0,0,0,0
MPV17,0,0.008327057,0.039127031,-0.003365501,0,0.021004625,0.029355139,0,0.016801988,0.039448202,0,-0.010085346,-0.050979223,0.028807752,0.013407121,0.017632696,0.035516895,-0.02401853,-0.010563368,0.002490068,0,0,-0.010169545,-0.015279296,-0.04458806,-0.019367293
GTF3C2,-0.003638717,0.011120972,-0.006569971,-0.005463828,0.02189218,0.00215337,0.013728456,-0.009932009,0.010995691,-0.004925926,0.03074068,-0.01522701,0,0.029402676,-0.001845204,0.005544912,-0.001438242,0,0.017790566,-0.015430784,0.000756128,0,-0.019856981,0,0.002517346,0.008059875
AC109828.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC074117.10,0,0,0,0,0,-0.002226661,-0.000180605,0,0,-0.000835343,0,0,0,-0.000159792,0.001500563,0.002523187,0,-0.003542134,0.000969914,0,0.000360391,9.01E-06,0,0,0,0
EIF2B4,0,-0.004072922,-0.01171276,-0.002056252,0,-0.04593864,-0.010104358,0.009745987,0,0,0.021127515,-0.01483159,-0.026520686,0,0.004353788,0.008045467,0.006692072,0.001890814,-0.000749248,0.017269634,0.010289687,0,0,0.037643249,-0.018220637,0
SNX17,0.008353243,0,0.004404298,0.000929499,0,0.020187997,0.002900165,-0.021800816,0.01564488,-0.008218945,0.011470749,0.000745196,0,0.018217917,0,0.004023598,-0.025273983,0,0,-0.010152111,0.01158434,0.008670379,-0.006868961,0.016492181,0,0
ZNF513,-0.000987616,0.011921516,0.008497096,0,0,0,0,0,-0.004301217,0.007086878,-0.00583578,0,0.000441209,0.005628873,0,0,0,0.007370623,0,0,0,0.004828219,0,0,0,0
PPM1G,0,-0.000910394,0.005866149,0,0.018975341,0.016071327,0.03372117,0.064452838,-0.010045228,-0.029059493,-0.005069288,-0.04968473,0.002509418,-0.040554484,-0.025553776,0.007478668,0.032809601,0,0.016209537,0,-0.004273043,0,0,0,0,0.03324272
NRBP1,-0.004035555,0,-0.003428656,0,0.011729705,0,0,0.024743123,0.006683828,0.008290158,-0.000466739,0,0,-0.052595026,0,0,-0.002555467,-0.003252779,0.024818795,0.003408879,-0.015891042,0.002842781,-0.001042907,0.014913972,-0.001750353,0.010586563
KRTCAP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFT172,0,0,0,0,0,0.008538113,0,0,0,0,0,-0.004809344,0.00913026,0,0,0,0.008310741,0.003821858,0,-0.002294102,0,0.00013581,0,-0.001272003,0,0
FNDC4,0.003057211,0,0,0,0,0,0,0.002791094,0,0,0.014479932,0,0,0,-0.000294338,-0.000653308,0,0,0.000750084,0,0,0,0,0,0,0
GCKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC109829.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2orf16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF512,-0.023204263,-0.009821099,0.010749643,0,0,0,0,0,0,0.016016686,0.008332533,0.004057295,0.004294062,0.002719897,-0.002397384,-0.003484043,-0.004645072,0.008869212,0,0,0,-0.003947735,0,-0.009374187,0.005326551,0
CCDC121,0,0,0,0,0,0,0.000499296,0,0,0,0,-0.000625471,0,0.001358209,0,0,0,0,0,0.001041647,0,0,0,0,0,0.00022804
GPN1,0.017970483,0,0.021539913,-0.010185671,-0.004302335,0,0,0.025103593,-0.020348746,-0.002491804,0.008978397,-0.010673534,-0.020766921,-0.007626251,0.016018768,-0.017381046,-0.012092651,0.011758391,-0.001541621,0,0,0,0,-0.000633607,0,0.006533702
SUPT7L,0.002740646,0,0,-0.048704322,0,0.017175122,-0.026010719,-0.01044411,0.015473753,0.016375569,-0.025771199,0,0.014926649,0.01016924,0,0,0,0,-0.020919509,-0.010208636,0,0,0.012497237,0.007676173,-0.008589721,0
SLC4A1AP,0.018678696,-0.006297906,0,0,0.038032978,-0.014230156,0,0.00492321,0,0.000531902,0,-0.000260879,0,-0.017931865,0,0.008076074,0.016904779,0.000360004,0.005392974,0.017043291,-0.020332045,0,0,0,0,-0.00485585
AC074091.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRPL33,0.003425282,-0.03447707,0.042722986,-0.017307987,-0.006774085,0,-0.056053435,0.015468199,0.006690668,0,-0.041128963,-0.002731811,0.060660534,0,0.005150775,-0.004782009,0.004035288,0.032541108,0.021707732,0.029829731,-0.078113449,0,0,0.000723446,-0.032707077,-0.051182717
RBKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRE,0,0,0.005207537,0.008974952,0,0,0,0,0,0,0,0.015632505,0,0,-0.002759863,0.010215223,0.003157216,0.014894882,-0.009340265,0,0,0,0,-0.00049236,0.010241973,0.007644164
FOSL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC097724.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP1CB,0,-0.03781679,0,0.028277342,0.042782939,0,0,0,0,-0.017541169,0,0,-0.028064309,-0.021149647,0,0.018972397,-0.073680403,-0.043869283,0,0,0,0,0.001165148,0.002229938,0,-0.020700585
SPDYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-713D19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRMT61B,0,0.000983666,0.004187701,0,0,-0.005994125,0,0,0,0.006030664,0.004763024,0.009946835,-0.000597112,0,-0.001280834,0.011102811,0.038426442,0.011934446,0,0.000668604,0,0,0,-0.006541506,0,-0.001074684
WDR43,-0.008028578,0,0.043954049,0.043681273,0.065974539,0.050951658,0.025116224,0,0.004909622,-0.026620412,-0.001995024,-3.96E-05,0.00758383,0.011870667,-0.035408539,0,0,0,0,-0.028775779,0,-0.059494868,0.01227979,0,0,0.022723391
FAM179A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLIP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC106870.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC016907.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YPEL5,0.003837682,-0.013222028,0.009022602,0,0,0,-0.002965899,0,0,0,-0.008911468,-0.016522732,-0.006044725,0,0,0,0,0.009999456,-0.016465969,-0.033381059,0,0.000372201,0.002640332,0.001962424,-0.003458311,-0.007741323
LBH,-0.003136553,0,0.001381766,-0.01197574,0,0.00120101,0.001515282,0,0,0,0.017193198,0.011565594,-0.003991405,0,0,0,0.01597728,0,0,-0.003899079,0.006453454,0,-0.001208049,0,0,0
AC109642.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LCLAT1,0,0,0,-0.00016351,0,0,0,0,0,0,0,0,-0.000890619,-0.004769192,0,0,-0.005701162,0.004230543,-0.008450794,0.004888335,0,0.025199255,0.003619456,0,0,0
GALNT14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XDH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-1057B6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEMO1,0.000641071,0,-0.001889316,0,0.000943308,0,0.005276946,0,-0.004829664,0,0,0,0,-0.009075098,0,-0.008369279,0,0,-0.001803687,0,0,0,0,0,0,0
DPY30,-0.010072811,-0.036200949,0.009756001,0.034802149,0,0.018924357,-0.039291342,-0.02842649,0,0.054666643,0,0,0.001772931,0.004474601,0,-0.018665632,0,0.017278716,0,0.038212104,0,0,0,-0.044345972,-0.022412504,0.036683571
CTC-336P14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPAST,0.022849691,0.003580991,0,0.012944202,-0.001242933,0.023013663,-0.017141109,-0.01566092,0,0,0.057186813,0,-0.010656402,-0.024436309,-0.000324071,-0.001846778,-0.004257715,0.022619386,0,0.002729073,0.011084032,-0.015126584,0,-0.020446674,-0.031527996,0.027451124
RP11-563N4.1,0,-0.014786568,-0.014059816,-0.000245436,0,0.015256916,0,0.019058958,0,-0.042974416,0.005267708,0.011189308,0,0.036881055,0,-0.018797913,-0.014091091,0.001616717,0,0.009673935,0.026983477,0,0,-0.001368614,-0.000691622,0
SLC30A6,0.004416825,-0.006369155,-0.002755905,0.001741916,0,0,-0.010448502,0,-0.003299605,-0.005602623,-0.007085897,0,0.004915321,0,0.00204391,0,0.037145329,0,0.007398273,0,0.009018134,0,-0.01135007,0,0,-0.001257558
NLRC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIPF4,0,0,-0.040435419,0,-0.053607115,0.010632597,-0.053360213,0.010687042,-0.027842511,0.000473088,0,0,-0.008259929,0,-0.030675884,-0.025736252,-0.054585889,0.007569349,0.049889713,0,0.017897134,0,0,0,0,0.009496594
AL133245.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIRC6,0.019277568,0,-0.013374048,0,0.000725852,0,-0.001107944,0,0.02626377,0.011085048,0.000108673,-0.000349048,0,-0.015306892,-9.05E-05,0.001885444,0.042944581,-0.016068866,-0.002716541,0,0.010444273,0,0.024925299,0,-0.00509697,-0.003806697
TTC27,0.00383983,-0.002493875,0,0.029024184,-0.02312044,0,-0.018683163,0.006014047,-0.008216062,-0.021754844,0,0,0,0.001575209,0,0,0,0,0.021299992,0.000657546,-0.011778819,0,-0.001654879,-0.002390758,0.006590329,0
LTBP1,0,0.008955316,0.019377684,0.002608912,0,0,0.0121002,-0.022193076,0,0,0.012273103,0,-0.004858041,0,0.00452172,-0.022427401,-0.006674502,0,0.001724295,0,0.00012736,0,-0.012295617,0.002285056,-0.038585539,0.000366222
RASGRP3,0.001348976,0,0.017962181,0,0,0,-0.003589848,0.014913022,0.01123373,-0.006913175,0.002020489,0,0,-0.002772308,0,-0.008703659,0,-0.003090043,0,0,0,0.011413902,0.017007821,-0.002257423,0,0
AC020594.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM98A,0.06717668,0,0,-0.001927483,0,-0.011511454,-0.009271435,0,0.001306756,0.022916951,0.028755662,0,-0.008206073,0.025147114,-0.005250738,0,0.016688617,0,0,0.008363971,0,0,-0.014251207,0,0.015791006,0
AC009499.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-529E15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC012593.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007401.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
